relative_path,reference_language,translation_block_count,string_dialogue_count,source_fingerprint_sha256
code/scenes/character_scenes/dc/sm1cs-dc009.rpy,deutsch,285,285,c47be070d4aa9096ec3697f344097e635848708e40dec4a9b59e8bb62a22887d
code/scenes/character_scenes/dc/sm1cs-dc009i.rpy,deutsch,19,19,d58d16967668da6f28192013ec3bb503360cc10adbdd05eb9f30b739f5aa8f6d
code/scenes/character_scenes/dc/sm1cs-dc010.rpy,deutsch,409,410,defe8b7ed8b0ebfcea16bbe41a206431dd6310bd5a84c712d232a07fe5d70dc8
code/scenes/character_scenes/dc/sm1cs-dc010i.rpy,deutsch,15,15,8539f13dfa1580a011e9b8450bf15c19457d01a13207d2cdb47a004c2c25a0c3
code/scenes/character_scenes/kv/sm1cs-kv-renovation.rpy,deutsch,70,70,fc6221a7d83dc41bdfa3f6b9267723d3d520ec3cc041a70cb508a78bcbad6469
code/scenes/character_scenes/kv/sm1cs-kv000i.rpy,deutsch,16,16,9c3ce9e168366b8297d3bcfef7a84c8490f37dad1ab6ed94f1898f0533acbd53
code/scenes/character_scenes/kv/sm1cs-kv001.rpy,french,84,88,b3658b9794c315bd4a36b20531d97d9bbb74df3e4e9a9e25e290fb6686b4f753
code/scenes/character_scenes/kv/sm1cs-kv002.rpy,chinese,93,96,fe463d75a9b65577f2fc0bfeed9fc360965c4dcba1f27264f7519143ba9c98bd
code/scenes/character_scenes/kv/sm1cs-kv003.rpy,deutsch,166,166,556949d8efce095dbc8ba250acacc35566ab32691a77ccbb5981b0eb14f54c26
code/scenes/character_scenes/kv/sm1cs-kv004.rpy,french,199,202,a9a50a3ac3babcf2366c1f8da5ce03824ca579a189b9737ef9640b445dec3b87
code/scenes/character_scenes/kv/sm1cs-kv004_1i.rpy,deutsch,16,16,8166a0cfed79b368b24a98445a7cef2de8ad601b2cbdd4a911624356d5283d5c
code/scenes/character_scenes/kv/sm1cs-kv005.rpy,deutsch,210,210,2fcf36069e335b7fc78c6a0176c78d144b6211411394803da4d84f1f8bfed1f0
code/scenes/character_scenes/mas/sm1cs-mas001.rpy,deutsch,37,38,f690502b1cc70530671cc60e11bfc8a26de8a7ee7e3a649b659b2293f96cdc68
code/scenes/character_scenes/mas/sm1cs-mas002.rpy,deutsch,75,75,962af3ae10f5bf38e0b77c69303b982c53df3734a2b202902326e98b108ddb6a
code/scenes/character_scenes/mas/sm1cs-mas003.rpy,spanish,283,290,5b2c4648fbe95ec355d1cea482b56361950d7cd22af0e2a49613484070289906
code/scenes/character_scenes/mas/sm1cs-mas004.rpy,french,252,260,afa3860b72878e14a6ec2b8845c2df685753e593b3949b3b0e99161eac2df853
code/scenes/character_scenes/mas/sm1cs-mas004i.rpy,deutsch,5,5,89e01dee52931eaa5f59b28052a988302d2e2697c1b08b1219f2a279c248b5b8
code/scenes/character_scenes/mes/sm1cs-mes-r1.rpy,french,286,298,a67b6829869c36cf8d3718fa772d1b51554088f8740be8e43a313483adc62a95
code/scenes/character_scenes/mes/sm1cs-mes-r1i.rpy,deutsch,2,2,d5e8b77672d96d0cdc8789b0e6121d9e576e315ae250a2877ab71f831d0ebb64
code/scenes/character_scenes/mes/sm1cs-mes001.rpy,french,175,175,0ad3cb5477ffcb8219d0c31e5a140a7a429461fce80f68d608599f4ce447ff9a
code/scenes/character_scenes/mes/sm1cs-mes002i.rpy,french,33,33,73621a18d2e3faed3fdeb78e9699112cc0c78bc24518aa9b3575465e7008091d
code/scenes/character_scenes/mes/sm1cs-mes003.rpy,french,287,293,170cc99215b22ff96be21d501e6bfc22b3d8542c11d303b3b6a83ace04a74a54
code/scenes/character_scenes/mes/sm1cs-mes004.rpy,deutsch,170,179,26bba1a140ea221a8212cb8a6da39e14dd96ab612ccc0e47d4f1881fe09b7b4e
code/scenes/character_scenes/mes/sm1cs-mes005.rpy,deutsch,214,216,01b698fe944a8cf68b14301e5ac4c8d5851c271e410f22e8adae06c22f4f77ff
code/scenes/character_scenes/mes/sm1cs-mes006.rpy,spanish,599,614,b2e473fcaa055dcdb8c1fa9841ffca422301663a62964003ebfb31b5382568c3
code/scenes/character_scenes/mes/sm1cs-mes007.rpy,spanish,203,217,9debb7de8988ab06e4ae28abaa25991d5428cf3e1b05fba069b1e90c38c194e2
